Library,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
Allerton Bywater,13446,10942,11062,9569,8100,6195,6611,6219,7006,7821,7548,1827,Closed,Closed,Closed,Closed,Closed,Closed,Closed
Ardsley & Tingley,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13903,11945,11315,11479,13980
Armley,104272,70990,51107,67333,90944,79913,80537,80056,88293,84968,84688,79886,76698,66184,54533,50348,48038,47224,41105
Armley Heights,7394,5881,4032,4067,3065,3569,2923,2322,1294,1196,775,55,Closed,Closed,Closed,Closed,Closed,Closed,Closed
Beeston,88005,77026,62163,58043,48970,44717,42336,38186,55534,52999,51477,50092,46831,42318,33991,31146,27071,29868,27380
Belle Isle,35526,28413,25603,16720,13370,12608,14192,10727,10524,11348,10348,2720,Closed,Closed,Closed,Closed,Closed,Closed,Closed
Boston Spa,28072,23938,20145,20454,23802,18378,20322,21865,23649,24047,22822,20989,19923,21406,17472,16563,17182,19452,21392
Bramley,67187,57212,55149,58521,50728,48637,47384,45941,49036,49234,47951,47111,48070,48843,41281,37228,39247,27054,34892
Broad Lane,23832,19926,16768,16274,13464,12789,13044,11586,9930,8877,9346,2005,Closed,Closed,Closed,Closed,Closed,Closed,Closed
Burley,17395,13609,13372,13769,12548,12976,12093,11033,11574,8583,9352,9206,6635,7759,6294,4116,24,Closed,Closed
Calverley,28301,25877,24917,27385,25348,21670,24785,23831,23823,23119,21981,22978,24026,23477,22048,20067,21579,22819,22000
Central Library,263961,292839,266006,276296,266326,261025,271889,276308,313403,324220,313681,280500,258337,247339,218909,187780,177037,174087,172379
Chapel Allerton,101881,86993,80265,81299,81539,82519,86859,87286,97625,89978,85890,83324,76004,80809,75339,73188,72331,71609,69617
Chapeltown,6727,5914,7514,6439,7006,7136,9638,10358,8235,8692,13843,19234,19453,19570,18457,17984,20932,23683,20370
Compton Road,110665,96170,75214,72950,65191,62185,63422,61232,63589,26354,75218,80202,66838,66229,57520,49892,42294,40192,40169
Cottingley,14790,11748,11020,8408,5045,564,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed
Cow Close,15771,14856,14370,12467,11673,8997,8585,10211,8250,8460,7189,6727,3014,Closed,Closed,Closed,Closed,Closed,Closed
Crossgates,153044,132520,101821,119584,114972,111009,108973,107288,114837,114144,106133,101718,89210,81959,74829,69328,66336,67408,58489
Dewsbury Road,23350,21673,18248,18420,25244,24851,22114,21933,18753,17426,17132,16271,17893,16920,14778,11210,10140,10035,13843
Drighlington,19884,16741,15819,14140,12266,13869,14093,12030,10182,10044,10672,10042,5261,Closed,Closed,Closed,Closed,Closed,Closed
East Leigh,8726,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed
Farsley,48473,46033,42353,41786,33280,31840,32619,31872,36827,37741,33077,33098,32054,33702,31518,28885,30172,32156,33237
Garforth,110894,100647,91103,83943,81520,75946,75694,77071,68543,51589,120835,108750,99983,93940,90412,84356,78284,80165,67894
Gildersome,25185,22886,21617,20100,14412,15713,17424,16546,17467,15218,13384,12692,10647,10473,9838,8186,7936,7831,7964
Guiseley,89042,89555,79340,72874,70876,69179,66286,64977,68750,66392,67812,64868,64086,57033,54875,57610,55844,53896,48024
Halton,101606,91193,82306,73659,73738,66211,68197,65236,64124,66261,61898,63898,59627,53383,53866,46142,45085,44733,37243
Headingley,203080,186011,175152,159121,154090,149705,149057,151855,155688,152191,149701,137805,139941,143938,136377,120460,126516,103151,91046
Holbeck,10730,8790,6551,5393,5008,6257,5891,4682,3972,3869,3829,1083,Closed,Closed,Closed,Closed,Closed,Closed,Closed
Holt Park,136421,119859,105126,95172,88076,80579,75657,72761,82232,76857,70114,66780,59325,65745,66877,61741,66366,68597,62751
Horsforth,156006,145100,138921,136052,127420,121425,146462,147435,152626,153375,150699,150274,146762,139075,129177,126485,116357,112343,109383
Hunslet,26050,20446,17839,15583,13758,13883,17897,11827,10221,9876,9329,9557,11623,9827,9124,7616,7703,8258,6141
Ireland Wood,9463,8495,8582,6995,6541,6456,5457,4181,3598,2507,2125,684,Closed,Closed,Closed,Closed,Closed,Closed,Closed
Kippax,46094,40249,37560,36678,35307,31364,30176,30095,31504,32991,24964,22456,22045,23488,22986,19709,21256,21272,15592
Kirkstall,17381,15079,13098,11626,8935,7068,7002,5865,6555,6177,4175,892,Closed,Closed,Closed,Closed,Closed,Closed,Closed
Lofthouse,8950,9553,8249,7786,6658,7020,6018,4761,4261,3903,3660,786,Closed,Closed,Closed,Closed,Closed,Closed,Closed
Meanwood,8962,7615,5493,5740,1254,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed
Methley,8455,7976,7479,7706,7479,7780,9074,7742,10400,10421,13433,12038,9099,8523,7041,Closed,Closed,Closed,Closed
Middleton,29693,26389,21406,37963,32329,28642,27151,26620,26870,26826,30390,30520,27275,24621,21372,19027,18194,17459,15079
Moor Allerton,438262,406650,393815,398076,398636,388381,387779,389488,297973,384889,372929,352920,324288,316524,300359,281644,272911,266506,255319
Morley,204055,185324,177438,172212,165480,152615,125985,152719,147347,151249,145312,136775,126828,122403,109382,101192,103214,98815,63407
Oakwood,98280,88179,78879,75085,71019,70455,71405,70360,76693,79202,72391,69051,67330,67804,65488,60950,57875,62629,60389
Osmondthorpe,7600,8178,5547,4885,5435,3719,4083,2659,1432,1234,1184,185,Closed,Closed,Closed,Closed,Closed,Closed,Closed
Otley,117306,111527,98466,90824,88366,101104,149023,143695,144611,144156,143291,137181,129140,119828,105016,99130,94889,94923,70409
Oulton,15355,15612,13044,13000,12181,11771,11371,2106,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed
Pudsey,164327,148126,143044,116848,122306,118036,119384,120994,122480,124925,125431,122280,114611,113591,105307,95189,91775,88619,82802
Rawdon,37822,31129,25688,25622,24777,24210,25585,23360,25309,23417,22755,21729,17857,5171,Closed,Closed,Closed,Closed,Closed
Richmond Hill,28049,21801,14137,9150,7195,6848,7540,5570,6223,6665,5913,1410,Closed,Closed,Closed,Closed,Closed,Closed,Closed
Rothwell,117330,69269,120451,110290,104138,97403,96830,99116,108114,109250,102363,102995,97610,92143,84103,79224,76957,76545,68657
Scholes,16571,15248,13396,13674,14034,12851,12580,12156,11467,11993,11032,12266,10089,9416,8317,7787,8501,7717,7040
Seacroft,75902,64812,60377,51078,48889,45888,45206,44413,46586,42439,44870,40544,36246,32718,27651,24720,24296,23599,22413
Shadwell,16178,15202,13419,12604,9480,9454,9756,8550,10992,12538,10257,8479,4455,Closed,Closed,Closed,Closed,Closed,Closed
Swarcliffe,20280,12813,9063,9423,8928,6590,5478,5295,5679,4879,4840,1119,Closed,Closed,Closed,Closed,Closed,Closed,Closed
Swillington,18271,15483,13189,11405,9672,8241,7011,7824,8756,7504,5934,1758,Closed,Closed,Closed,Closed,Closed,Closed,Closed
Swinnow,10947,9147,8950,8525,5718,4768,4560,3601,4911,4148,3427,634,Closed,Closed,Closed,Closed,Closed,Closed,Closed
Wetherby,148980,140394,127640,112153,91500,103806,103585,103842,110916,113337,106451,105804,105784,101815,97739,96373,93574,91558,88006
Whinmoor,27201,21353,20910,18524,14430,12955,11682,12307,12236,12039,9191,8527,7428,7475,6474,4350,5371,6549,4789
Woodhouse,4551,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed
